Job ID,Job Title,Company,City,Role,Experience Level,Work Type,Posted Date,Skill,Salary_LPA
J0107,BI Analyst,Tech Mahindra,Chennai,BI Analyst,Entry Level,Full-time,24/03/2026,Tableau,6.7
J0108,Data Analyst,Amazon,Mumbai,Data Analyst,Mid Level,Full-time,06/01/2026,Python,12.8
J0109,Data Scientist,Genpact,Bengaluru,Data Scientist,Mid Level,Full-time,16/06/2026,Statistics,10.6
J0110,Data Scientist,Amazon,Noida,Data Scientist,Mid Level,Remote,01/05/2026,SQL,10.2
J0111,Data Scientist,EY,Chennai,Data Scientist,Entry Level,Full-time,07/05/2026,Machine Learning,5.5
J0112,BI Analyst,IBM,Bengaluru,BI Analyst,Entry Level,Full-time,30/01/2026,DAX,8.2
J0113,BI Analyst,Amazon,Bengaluru,BI Analyst,Mid Level,Full-time,14/01/2026,DAX,9.6
J0114,Data Scientist,Amazon,Gurugram,Data Scientist,Junior,Full-time,10/03/2026,Statistics,8
J0115,Data Scientist,TCS,Gurugram,Data Scientist,Entry Level,Hybrid,24/07/2026,Pandas,5.3
J0116,Business Analyst,HCLTech,Bengaluru,Business Analyst,Junior,Full-time,04/08/2026,Power BI,9.5
J0117,BI Analyst,IBM,Hyderabad,BI Analyst,Senior Level,Full-time,30/06/2026,Power BI,13.9
J0118,BI Analyst,IBM,Mumbai,BI Analyst,Junior,Full-time,03/06/2026,Tableau,7.8
J0119,Business Analyst,Genpact,Pune,Business Analyst,Mid Level,Full-time,21/07/2026,Excel,10.8
J0120,Data Analyst,EY,Pune,Data Analyst,Junior,Remote,06/05/2026,Excel,9.3
J0121,BI Analyst,Cognizant,Gurugram,BI Analyst,Entry Level,Hybrid,07/04/2026,DAX,6.1
J0122,Data Scientist,Tech Mahindra,Mumbai,Data Scientist,Junior,Remote,16/04/2026,SQL,6
J0123,BI Analyst,Amazon,Noida,BI Analyst,Mid Level,Hybrid,08/02/2026,Tableau,10.8
J0124,Data Analyst,EY,Delhi,Data Analyst,Entry Level,Hybrid,26/01/2026,SQL,6.4
J0125,BI Analyst,Deloitte,Hyderabad,BI Analyst,Mid Level,Remote,20/01/2026,Power BI,10.7
J0126,Data Scientist,Amazon,Noida,Data Scientist,Entry Level,Full-time,22/06/2026,Machine Learning,7.7
J0127,BI Analyst,EY,Gurugram,BI Analyst,Junior,Hybrid,02/03/2026,Excel,8.3
J0128,Data Scientist,Deloitte,Chennai,Data Scientist,Senior Level,Hybrid,30/06/2026,SQL,16.3
J0129,BI Analyst,KPMG,Pune,BI Analyst,Entry Level,Full-time,15/01/2026,SQL,5.5
J0130,Data Scientist,Accenture,Hyderabad,Data Scientist,Junior,Full-time,22/07/2026,Pandas,6.5
J0131,Business Analyst,Tech Mahindra,Noida,Business Analyst,Mid Level,Full-time,30/05/2026,Excel,9.4
J0132,BI Analyst,Capgemini,Gurugram,BI Analyst,Mid Level,Remote,30/04/2026,Excel,12.4
J0133,Data Engineer,IBM,Chennai,Data Engineer,Senior Level,Remote,18/03/2026,SQL,15.4
J0134,BI Analyst,EY,Gurugram,BI Analyst,Entry Level,Remote,07/08/2026,Excel,6.2
J0135,Business Analyst,Tech Mahindra,Delhi,Business Analyst,Entry Level,Hybrid,06/01/2026,Tableau,8.2
J0136,BI Analyst,Tech Mahindra,Bengaluru,BI Analyst,Mid Level,Hybrid,13/01/2026,Excel,12.4
J0137,BI Analyst,Tech Mahindra,Mumbai,BI Analyst,Mid Level,Full-time,18/02/2026,Excel,11.3
J0138,Business Analyst,Capgemini,Bengaluru,Business Analyst,Mid Level,Full-time,04/04/2026,Excel,11.7
J0139,Data Analyst,Microsoft,Delhi,Data Analyst,Junior,Full-time,21/07/2026,Excel,8
J0140,Data Scientist,EY,Pune,Data Scientist,Entry Level,Remote,04/05/2026,Statistics,8.2
J0141,Data Scientist,IBM,Chennai,Data Scientist,Senior Level,Full-time,27/02/2026,Machine Learning,16.2
J0142,BI Analyst,TCS,Delhi,BI Analyst,Mid Level,Full-time,18/05/2026,DAX,9.3
J0143,Data Scientist,EY,Noida,Data Scientist,Junior,Full-time,22/06/2026,Machine Learning,6.7
J0144,Data Analyst,KPMG,Delhi,Data Analyst,Junior,Hybrid,12/06/2026,Tableau,9.1
J0145,Data Scientist,Wipro,Chennai,Data Scientist,Entry Level,Full-time,07/05/2026,Pandas,4.8
J0146,Business Analyst,Deloitte,Hyderabad,Business Analyst,Junior,Hybrid,10/07/2026,Jira,8.6
J0147,Data Engineer,KPMG,Hyderabad,Data Engineer,Junior,Full-time,06/05/2026,ETL,8.3
J0148,Data Scientist,Accenture,Delhi,Data Scientist,Junior,Remote,07/08/2026,Python,7.3
J0149,Data Scientist,Infosys,Delhi,Data Scientist,Junior,Full-time,01/02/2026,Statistics,9.6
J0150,BI Analyst,Amazon,Mumbai,BI Analyst,Junior,Remote,13/01/2026,Power BI,8.9
J0151,Business Analyst,TCS,Mumbai,Business Analyst,Mid Level,Full-time,31/05/2026,SQL,9.7
J0152,Business Analyst,Genpact,Hyderabad,Business Analyst,Senior Level,Full-time,08/08/2026,Power BI,16.7
J0153,Business Analyst,Genpact,Pune,Business Analyst,Entry Level,Hybrid,07/01/2026,Jira,4.8
J0154,Data Scientist,Infosys,Delhi,Data Scientist,Entry Level,Full-time,09/07/2026,SQL,6
J0155,Data Analyst,IBM,Gurugram,Data Analyst,Mid Level,Full-time,28/01/2026,Python,10.6
J0156,Business Analyst,Microsoft,Bengaluru,Business Analyst,Mid Level,Remote,14/05/2026,Jira,10
J0157,Data Analyst,EY,Gurugram,Data Analyst,Junior,Hybrid,06/05/2026,Python,8.6
J0158,BI Analyst,Cognizant,Chennai,BI Analyst,Junior,Full-time,12/03/2026,Power BI,8.3
J0159,Data Engineer,Deloitte,Delhi,Data Engineer,Senior Level,Full-time,27/04/2026,Spark,14.8
J0160,BI Analyst,EY,Chennai,BI Analyst,Mid Level,Remote,22/05/2026,Power BI,11.7
J0161,Business Analyst,KPMG,Gurugram,Business Analyst,Entry Level,Full-time,27/04/2026,Tableau,5.9
J0162,Data Analyst,Cognizant,Noida,Data Analyst,Mid Level,Full-time,09/02/2026,Excel,11.5
J0163,BI Analyst,EY,Chennai,BI Analyst,Entry Level,Full-time,10/07/2026,Power BI,7.3
J0164,Business Analyst,Tech Mahindra,Bengaluru,Business Analyst,Senior Level,Full-time,21/06/2026,Jira,13.3
J0165,Data Scientist,Capgemini,Bengaluru,Data Scientist,Junior,Full-time,28/05/2026,Pandas,7.8
J0166,Business Analyst,EY,Mumbai,Business Analyst,Entry Level,Hybrid,05/04/2026,Tableau,4.8
J0167,Data Scientist,Genpact,Mumbai,Data Scientist,Junior,Full-time,16/07/2026,Statistics,9.1
J0168,Data Engineer,Tech Mahindra,Bengaluru,Data Engineer,Senior Level,Hybrid,10/03/2026,Spark,12.9
J0169,Data Scientist,Cognizant,Delhi,Data Scientist,Entry Level,Remote,25/05/2026,Machine Learning,6.9
J0170,Data Analyst,TCS,Bengaluru,Data Analyst,Mid Level,Full-time,18/04/2026,SQL,10.6
J0171,Business Analyst,Microsoft,Pune,Business Analyst,Entry Level,Remote,02/06/2026,Power BI,4.6
J0172,Data Analyst,Genpact,Hyderabad,Data Analyst,Junior,Hybrid,11/03/2026,SQL,7.6
J0173,BI Analyst,Deloitte,Gurugram,BI Analyst,Entry Level,Hybrid,30/01/2026,Tableau,5.7
J0174,Data Analyst,HCLTech,Gurugram,Data Analyst,Mid Level,Full-time,12/04/2026,Excel,12.7
J0175,Data Analyst,Capgemini,Mumbai,Data Analyst,Senior Level,Hybrid,15/07/2026,Python,13.8
J0176,Data Scientist,IBM,Bengaluru,Data Scientist,Mid Level,Full-time,08/04/2026,Python,10.9
J0177,Business Analyst,TCS,Delhi,Business Analyst,Junior,Hybrid,22/04/2026,Jira,5.9
J0178,Data Analyst,Tech Mahindra,Noida,Data Analyst,Junior,Hybrid,16/03/2026,Excel,6.3
J0179,Data Analyst,Genpact,Hyderabad,Data Analyst,Senior Level,Full-time,26/06/2026,Excel,16.5
J0180,Data Analyst,Accenture,Chennai,Data Analyst,Junior,Full-time,21/01/2026,Power BI,7.4
J0181,Data Scientist,Cognizant,Mumbai,Data Scientist,Mid Level,Full-time,12/06/2026,Machine Learning,9.3
J0182,Data Engineer,Cognizant,Delhi,Data Engineer,Mid Level,Hybrid,28/07/2026,SQL,9.4
J0183,Data Analyst,Accenture,Pune,Data Analyst,Entry Level,Full-time,14/07/2026,SQL,6.9
J0184,Business Analyst,Genpact,Gurugram,Business Analyst,Junior,Full-time,24/06/2026,Tableau,9.5
J0185,Data Engineer,EY,Delhi,Data Engineer,Senior Level,Full-time,23/04/2026,Spark,13.1
J0186,BI Analyst,Tech Mahindra,Pune,BI Analyst,Entry Level,Full-time,21/03/2026,Excel,6.1
J0187,Data Analyst,EY,Delhi,Data Analyst,Entry Level,Hybrid,07/08/2026,Python,4.7
J0188,Data Engineer,IBM,Noida,Data Engineer,Junior,Remote,09/07/2026,Spark,9.4
J0189,BI Analyst,Cognizant,Mumbai,BI Analyst,Junior,Full-time,16/01/2026,DAX,7.6
J0190,Data Scientist,Infosys,Hyderabad,Data Scientist,Entry Level,Full-time,23/04/2026,Python,6.4
J0191,Data Engineer,Cognizant,Delhi,Data Engineer,Senior Level,Full-time,18/07/2026,SQL,14.2
J0192,Data Engineer,TCS,Delhi,Data Engineer,Entry Level,Full-time,09/04/2026,Python,5.4
J0193,Data Engineer,TCS,Delhi,Data Engineer,Junior,Full-time,31/03/2026,SQL,7
J0194,BI Analyst,Capgemini,Chennai,BI Analyst,Junior,Hybrid,26/03/2026,SQL,9.1
J0195,Data Engineer,HCLTech,Noida,Data Engineer,Junior,Full-time,16/02/2026,Python,9.6
J0196,Data Scientist,Accenture,Mumbai,Data Scientist,Senior Level,Full-time,17/03/2026,Pandas,16.2
J0197,Data Analyst,Amazon,Bengaluru,Data Analyst,Entry Level,Hybrid,03/02/2026,Tableau,6.7
J0198,Business Analyst,EY,Hyderabad,Business Analyst,Mid Level,Hybrid,20/08/2026,SQL,9.5
J0199,BI Analyst,Cognizant,Noida,BI Analyst,Mid Level,Full-time,24/04/2026,Power BI,11.2
J0200,BI Analyst,Capgemini,Mumbai,BI Analyst,Senior Level,Hybrid,20/08/2026,SQL,16.1
J0201,Data Scientist,IBM,Gurugram,Data Scientist,Mid Level,Hybrid,09/05/2026,Statistics,10.9
J0202,Business Analyst,EY,Hyderabad,Business Analyst,Entry Level,Hybrid,12/08/2026,SQL,5.8
J0203,Data Analyst,Capgemini,Chennai,Data Analyst,Entry Level,Full-time,26/04/2026,Tableau,7.9
J0204,Business Analyst,KPMG,Chennai,Business Analyst,Entry Level,Full-time,31/03/2026,Tableau,8
J0205,BI Analyst,HCLTech,Noida,BI Analyst,Junior,Full-time,21/01/2026,Power BI,7.3
J0206,Data Analyst,EY,Chennai,Data Analyst,Mid Level,Full-time,07/02/2026,Excel,9.4
J0207,Data Scientist,Genpact,Hyderabad,Data Scientist,Mid Level,Full-time,02/01/2026,Pandas,12.4
J0208,Data Analyst,EY,Mumbai,Data Analyst,Entry Level,Remote,05/06/2026,Excel,6.4
J0209,Data Analyst,Capgemini,Mumbai,Data Analyst,Entry Level,Full-time,13/06/2026,Excel,7.5
J0210,BI Analyst,EY,Chennai,BI Analyst,Senior Level,Full-time,05/01/2026,Power BI,15.3
J0211,Data Engineer,Capgemini,Hyderabad,Data Engineer,Junior,Hybrid,03/03/2026,SQL,8.1
J0212,Business Analyst,TCS,Delhi,Business Analyst,Senior Level,Full-time,21/07/2026,Excel,16.8
J0213,Data Engineer,EY,Noida,Data Engineer,Junior,Hybrid,06/04/2026,Python,6.8
J0214,Data Analyst,Cognizant,Chennai,Data Analyst,Entry Level,Hybrid,27/01/2026,Excel,7.4
J0215,Data Scientist,Cognizant,Bengaluru,Data Scientist,Junior,Hybrid,14/02/2026,SQL,9.1
J0216,BI Analyst,Genpact,Hyderabad,BI Analyst,Entry Level,Hybrid,28/04/2026,Tableau,4.4
J0217,Business Analyst,KPMG,Mumbai,Business Analyst,Entry Level,Remote,12/05/2026,Excel,5.9
J0218,Data Engineer,Infosys,Pune,Data Engineer,Mid Level,Full-time,02/04/2026,ETL,12.2
J0219,Data Analyst,TCS,Pune,Data Analyst,Mid Level,Full-time,13/04/2026,Excel,11.8
J0220,BI Analyst,IBM,Hyderabad,BI Analyst,Mid Level,Full-time,24/07/2026,Excel,10.9
J0221,Data Analyst,Deloitte,Chennai,Data Analyst,Junior,Hybrid,20/05/2026,Power BI,7
J0222,Data Analyst,Amazon,Delhi,Data Analyst,Entry Level,Full-time,03/07/2026,Python,6
J0223,BI Analyst,Infosys,Gurugram,BI Analyst,Mid Level,Remote,07/06/2026,Excel,12.8
J0224,Data Scientist,Amazon,Chennai,Data Scientist,Junior,Full-time,25/07/2026,Python,8.8
J0225,Business Analyst,EY,Hyderabad,Business Analyst,Junior,Hybrid,09/01/2026,Excel,6.3
J0226,Business Analyst,Deloitte,Delhi,Business Analyst,Senior Level,Full-time,09/02/2026,Power BI,15.5
J0227,Data Scientist,Genpact,Gurugram,Data Scientist,Entry Level,Full-time,04/04/2026,Machine Learning,5.9
J0228,Data Scientist,Infosys,Chennai,Data Scientist,Mid Level,Full-time,10/04/2026,SQL,12.5
J0229,Data Analyst,Microsoft,Pune,Data Analyst,Junior,Remote,15/03/2026,Excel,8.6
J0230,BI Analyst,Wipro,Chennai,BI Analyst,Mid Level,Full-time,19/08/2026,SQL,11.7
J0231,Data Analyst,Microsoft,Delhi,Data Analyst,Entry Level,Full-time,17/08/2026,Excel,5.5
J0232,Business Analyst,HCLTech,Delhi,Business Analyst,Entry Level,Remote,22/07/2026,SQL,4.9
J0233,BI Analyst,HCLTech,Delhi,BI Analyst,Junior,Full-time,22/05/2026,Power BI,6.3
J0234,Data Analyst,Deloitte,Pune,Data Analyst,Senior Level,Hybrid,15/05/2026,Python,14.4
J0235,BI Analyst,Wipro,Chennai,BI Analyst,Senior Level,Hybrid,26/04/2026,DAX,14.7
J0236,Data Engineer,KPMG,Hyderabad,Data Engineer,Mid Level,Full-time,31/05/2026,AWS,9.5
J0237,Business Analyst,EY,Bengaluru,Business Analyst,Entry Level,Full-time,12/02/2026,Tableau,4.9
J0238,Business Analyst,EY,Pune,Business Analyst,Entry Level,Full-time,22/05/2026,Power BI,5.4
J0239,Data Scientist,HCLTech,Chennai,Data Scientist,Junior,Full-time,29/05/2026,Statistics,6.4
J0240,Data Engineer,EY,Delhi,Data Engineer,Senior Level,Full-time,10/08/2026,Spark,12.9
J0241,Data Analyst,Amazon,Pune,Data Analyst,Entry Level,Full-time,08/06/2026,Tableau,6.9
J0242,BI Analyst,Amazon,Pune,BI Analyst,Senior Level,Full-time,26/07/2026,DAX,16
J0243,BI Analyst,TCS,Gurugram,BI Analyst,Mid Level,Full-time,17/04/2026,Excel,10.7
J0244,Business Analyst,Cognizant,Hyderabad,Business Analyst,Mid Level,Full-time,09/08/2026,Power BI,10.2
J0245,BI Analyst,HCLTech,Delhi,BI Analyst,Junior,Full-time,30/04/2026,SQL,6.3
J0246,BI Analyst,TCS,Hyderabad,BI Analyst,Entry Level,Remote,10/08/2026,SQL,6.8
J0247,Business Analyst,KPMG,Delhi,Business Analyst,Junior,Full-time,15/07/2026,SQL,6.4
J0248,Data Engineer,KPMG,Gurugram,Data Engineer,Entry Level,Full-time,11/04/2026,ETL,6.3
J0249,Business Analyst,Infosys,Delhi,Business Analyst,Entry Level,Full-time,14/08/2026,SQL,7.7
J0250,BI Analyst,EY,Bengaluru,BI Analyst,Entry Level,Full-time,09/03/2026,Excel,7.2
J0251,BI Analyst,Deloitte,Bengaluru,BI Analyst,Entry Level,Full-time,03/04/2026,Excel,6.5
J0252,Data Analyst,Genpact,Gurugram,Data Analyst,Junior,Hybrid,09/06/2026,Power BI,8.5
J0253,Data Analyst,Deloitte,Chennai,Data Analyst,Junior,Remote,23/05/2026,SQL,9.6
J0254,Business Analyst,HCLTech,Noida,Business Analyst,Entry Level,Full-time,02/07/2026,SQL,5.6
J0255,BI Analyst,Wipro,Gurugram,BI Analyst,Junior,Full-time,25/03/2026,DAX,9.5
